provider,cidr,region
aws,69.107.7.16/29,ap-east-1
aws,69.107.12.64/28,ap-east-1
aws,76.162.0.0/15,ap-east-1
aws,95.40.0.0/15,ap-east-1
aws,99.77.142.0/24,ap-east-1
aws,99.77.241.0/24,ap-east-1
aws,99.83.96.0/24,ap-east-1
aws,99.150.88.0/21,ap-east-1
aws,150.222.47.128/25,ap-east-1
aws,150.222.48.0/26,ap-east-1
aws,150.222.114.0/24,ap-east-1
aws,150.222.135.0/24,ap-east-1
aws,151.148.19.0/24,ap-east-1
aws,159.248.133.0/24,ap-east-1
aws,216.244.6.0/24,ap-east-1
aws,216.244.24.0/21,ap-east-1
aws,216.244.32.0/22,ap-east-1
aws,2400:6500:0:3::/64,ap-east-1
aws,2400:6500:0:7300::/56,ap-east-1
aws,2406:da00:e000::/40,ap-east-1
aws,2406:da1e::/32,ap-east-1
aws,2406:da2e::/36,ap-east-1
aws,2406:da30:e000::/40,ap-east-1
aws,2406:da32:e000::/40,ap-east-1
aws,2406:da36:e000::/40,ap-east-1
aws,2406:da38:e000::/40,ap-east-1
aws,2406:da60:e000::/40,ap-east-1
aws,2406:da61:e000::/40,ap-east-1
aws,2406:da70:e000::/40,ap-east-1
aws,2406:daa0:e000::/40,ap-east-1
aws,2406:dab9:e000::/40,ap-east-1
aws,2406:dabb:e000::/40,ap-east-1
aws,2406:daea:e000::/40,ap-east-1
aws,2406:daeb:e000::/40,ap-east-1
aws,2406:daef:e000::/40,ap-east-1
aws,2406:daf0:e000::/40,ap-east-1
aws,2406:daf2:e000::/40,ap-east-1
aws,2406:daf3:e000::/40,ap-east-1
aws,2406:daf4:e000::/40,ap-east-1
aws,2406:daf6:e000::/40,ap-east-1
aws,2406:daf8:e000::/40,ap-east-1
aws,2406:daf9:e000::/40,ap-east-1
aws,2406:dafa:e000::/40,ap-east-1
aws,2406:dafc:e000::/40,ap-east-1
aws,2406:dafe:e000::/40,ap-east-1
aws,2406:daff:e000::/40,ap-east-1
aws,2600:1f01:4814::/47,ap-east-1
aws,2600:1f01:4920::/47,ap-east-1
aws,2600:f0f0:6113::/48,ap-east-1
aws,2600:f0f0:810d::/48,ap-east-1
aws,2600:f0f1:85::/48,ap-east-1
aws,2600:f0f1:4280::/42,ap-east-1
aws,2600:f0fb:f106::/48,ap-east-1
aws,1.178.31.0/24,ap-east-2
aws,3.5.196.0/22,ap-east-2
aws,5.60.0.0/20,ap-east-2
aws,13.248.78.0/24,ap-east-2
aws,15.143.0.0/16,ap-east-2
aws,15.177.104.0/24,ap-east-2
aws,15.190.112.0/20,ap-east-2
aws,15.190.244.0/22,ap-east-2
aws,15.248.128.0/21,ap-east-2
aws,16.12.78.0/23,ap-east-2
aws,16.12.80.0/24,ap-east-2
aws,18.97.112.0/20,ap-east-2
aws,23.254.0.0/21,ap-east-2
aws,35.71.127.0/24,ap-east-2
aws,43.212.0.0/14,ap-east-2
aws,52.94.250.128/28,ap-east-2
aws,54.54.0.0/15,ap-east-2
aws,72.242.0.0/15,ap-east-2
aws,76.223.170.80/28,ap-east-2
aws,104.255.59.212/30,ap-east-2
aws,104.255.59.216/31,ap-east-2
aws,150.222.53.224/27,ap-east-2
aws,150.222.54.96/27,ap-east-2
aws,150.222.54.128/27,ap-east-2
aws,216.216.0.0/15,ap-east-2
aws,2400:6500:0:7e00::/56,ap-east-2
aws,2406:da00:c800::/40,ap-east-2
aws,2406:da1c:8000::/36,ap-east-2
aws,2406:da2c:8000::/36,ap-east-2
aws,2406:da30:c800::/40,ap-east-2
aws,2406:da32:c800::/40,ap-east-2
aws,2406:da36:c800::/40,ap-east-2
aws,2406:da38:c800::/40,ap-east-2
aws,2406:da60:c800::/40,ap-east-2
aws,2406:da61:c800::/40,ap-east-2
aws,2406:da70:c800::/40,ap-east-2
aws,2406:daa0:c800::/40,ap-east-2
aws,2406:dab9:c800::/40,ap-east-2
aws,2406:dabb:c800::/40,ap-east-2
aws,2406:daea:c800::/40,ap-east-2
aws,2406:daeb:c800::/40,ap-east-2
aws,2406:daef:c800::/40,ap-east-2
aws,2406:daf0:c800::/40,ap-east-2
aws,2406:daf2:c800::/40,ap-east-2
aws,2406:daf3:c800::/40,ap-east-2
aws,2406:daf4:c800::/40,ap-east-2
aws,2406:daf6:c800::/40,ap-east-2
aws,2406:daf8:c800::/40,ap-east-2
aws,2406:daf9:c800::/40,ap-east-2
aws,2406:dafc:c800::/40,ap-east-2
aws,2406:dafe:c800::/40,ap-east-2
aws,2406:daff:c800::/40,ap-east-2
aws,2600:1f20:c000::/36,ap-east-2
aws,2600:f0f2:7025::/48,ap-east-2
aws,1.178.64.0/24,ap-northeast-1
aws,3.2.61.0/24,ap-northeast-1
aws,3.2.66.0/24,ap-northeast-1
aws,3.4.12.27/32,ap-northeast-1
aws,3.4.12.28/31,ap-northeast-1
aws,3.4.12.30/32,ap-northeast-1
aws,3.4.15.64/28,ap-northeast-1
aws,3.5.152.0/21,ap-northeast-1
aws,3.44.128.0/18,ap-northeast-1
aws,3.112.0.0/14,ap-northeast-1
aws,5.60.128.0/17,ap-northeast-1
aws,13.112.0.0/14,ap-northeast-1
aws,13.158.0.0/15,ap-northeast-1
aws,13.192.0.0/13,ap-northeast-1
aws,13.230.0.0/15,ap-northeast-1
aws,13.248.69.0/24,ap-northeast-1
aws,13.248.70.0/24,ap-northeast-1
aws,13.248.98.0/24,ap-northeast-1
aws,13.248.115.0/24,ap-northeast-1
aws,15.128.0.0/16,ap-northeast-1
aws,15.129.24.0/22,ap-northeast-1
aws,15.177.79.0/24,ap-northeast-1
aws,15.193.1.0/24,ap-northeast-1
aws,15.193.156.0/22,ap-northeast-1
aws,15.220.56.0/21,ap-northeast-1
aws,15.220.80.0/20,ap-northeast-1
aws,15.221.34.0/24,ap-northeast-1
aws,15.221.152.0/24,ap-northeast-1
aws,15.230.59.0/24,ap-northeast-1
aws,15.230.76.192/26,ap-northeast-1
aws,15.230.77.0/25,ap-northeast-1
aws,15.230.99.0/24,ap-northeast-1
aws,15.230.123.0/24,ap-northeast-1
aws,15.230.129.0/24,ap-northeast-1
aws,15.230.152.0/24,ap-northeast-1
aws,15.230.154.0/23,ap-northeast-1
